Time Stamp,OGS,KGS,DGS,IGS,Foxwq,Tygem,WBaduk,GoQuest_rank,GoQuest_rating,AGA,EGF,Korea,China,Japan,Taiwan
2020/4/25 AM 2:58:40,9k,,,,,,,,,,9k,,,,
2020/4/27 AM 12:55:13,9k,,,,,,,,,,9k,,,,
2020/4/28 PM 2:43:56,20k,,,,,,,,,,,,,,
2020/5/11 PM 2:44:22,,,,,6d,6d,7d,,,,,,,,
2020/5/15 PM 8:30:34,2d,4d,,,,,,4d,2020,,3d,,,,
2020/5/16 AM 10:50:20,1d,1d,,2k,2d,3d,,3d,,,,,,,
2020/5/18 PM 9:35:41,,,,,8k,,,,,,,,,,1k
2020/6/1 PM 5:45:11,,,,,,,,,,,,,,,
2020/6/9 PM 9:28:25,,,,7k,,4k,,,,,,,,,1d
2020/6/11 PM 10:54:59,,,,2d,,,,,,,,,,,5d
2020/6/19 AM 12:52:52,6k,2k,,,,1d,,,,,,,,,
2020/6/19 AM 8:05:02,1d,2d,,2d,,4d,,,,,,,,,
2020/6/23 PM 7:39:26,,,,,3d,,,,,,,,,,
2020/7/21 AM 10:16:53,1d,1d,,2k,2d,3d,,,1910,,,,3d,,
